@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
2,1,379515,1630493
2,2,240189,1630496
5,5,-1,1631546
5,4,-1,1631550
6,2,-1,1631553
7,5,-1,1631562
6,2,-1,1631566
5,1,-1,1631571
5,4,393201,1631579
5,1,396684,1631581
6,4,-1,1631589
6,1,-1,1631592
6,5,397620,1631602
6,4,-1,1631607
6,2,-1,1631611
6,1,-1,1631616
6,3,-1,1631624
6,2,273508,1631629
4,4,382064,1631637
3,2,397247,1631639
3,3,1115610,1631643
3,2,375277,1631645
3,1,-1,1631647
3,3,-1,1631652
3,3,306803,1631655
3,3,-1,1631658
3,1,375601,1631659
3,1,-1,1631662
3,1,271130,1631665
3,3,361532,1631670
3,1,-1,1631671
3,1,337757,1631674
3,3,-1,1631679
2,2,359193,1631681
2,1,382233,1631682
3,1,394696,1631684
3,3,368658,1631689
3,1,273482,1631690
6,4,744719,1631696
6,1,368696,1631699
7,7,-1,1631711
7,6,-1,1631717
7,1,366137,1631719
9,8,-1,1631753
9,3,-1,1631808
9,2,-1,1631816
9,1,397568,1631824
9,9,-1,1631891
9,8,-1,1631899
8,7,337402,1631907
8,2,391036,1631910
8,1,-1,1631917
5,4,-1,1632845
5,3,-1,1632849
5,3,-1,1632854
5,5,397585,1632861
5,2,399467,1632863
5,1,-1,1632867
5,5,375456,1632876
5,3,744574,1632879
5,2,375487,1632883
4,1,-1,1632887
4,4,-1,1632894
4,3,-1,1632897
4,1,330633,1632899
4,4,-1,1632906
5,2,-1,1632908
5,1,-1,1632912
6,1,-1,1632917
7,5,-1,1632927
7,5,-1,1632934
6,2,-1,1632938
5,5,-1,1632947
4,3,-1,1632950
4,2,363574,1632953
4,1,386374,1632956
4,4,-1,1632963
2,1,337389,1632964
3,1,1115649,1632966
3,3,384228,1632971
3,1,744206,1632972
3,3,-1,1632977
3,1,-1,1632978
4,4,1485182,1632984
4,3,394346,1632987
4,4,-1,1632992
6,4,744398,1633004
6,2,-1,1633008
6,1,-1,1633013
5,5,-1,1633023
6,3,-1,1633026
6,3,744677,1633032
3,2,366151,1633037
5,4,-1,1633074
5,3,332943,1633078
5,4,-1,1633084
5,3,-1,1633088
4,3,376571,1633485
4,1,366331,1633487
4,3,-1,1633493
4,1,386274,1633495
3,3,304044,1633501
3,2,368291,1633503
3,3,388273,1633507
3,3,390994,1633510
2,2,395360,1633512
2,2,398918,1633514
2,1,337757,1633515
2,2,399598,1633518
2,2,388414,1633520
2,1,398711,1633521
2,2,1116026,1633524
2,1,304450,1633525
2,1,744152,1633527
2,2,1114283,1633530
3,1,367419,1633531
8,5,378911,1633538
9,5,304254,1633546
9,4,-1,1633554
6,6,-1,1633565
3,3,397258,1635606
3,1,399256,1635607
4,3,273508,1635612
4,4,382058,1635617
4,3,-1,1635620
4,4,-1,1635625
4,2,744349,1635627
5,5,380020,1635634
5,4,-1,1635638
4,2,-1,1635641
5,1,385896,1635644
5,5,394852,1635653
6,1,-1,1635654
5,5,744680,1635664
5,4,-1,1635668
7,3,-1,1635672
8,8,-1,1635684
7,7,-1,1635691
8,4,-1,1635695
8,6,-1,1635705
9,4,-1,1635711
8,2,-1,1635748
7,7,-1,1635761
5,4,-1,1635765
6,6,-1,1635851
7,5,-1,1635856
8,1,-1,1635859
8,6,-1,1635872
8,3,-1,1635877
8,1,-1,1635883
8,6,393029,1635896
8,5,367982,1635903
6,2,335195,1635937
6,1,396726,1635942
8,6,-1,1635953
8,5,-1,1635960
8,1,302042,1635964
5,2,374937,1635973
6,2,395442,1635978
6,5,-1,1635987
6,3,-1,1635991
3,1,336830,1637421
3,1,-1,1637424
3,3,335392,1637429
3,1,390864,1637430
3,1,375403,1638309
3,2,335389,1638313
3,2,385191,1638316
3,3,381474,1638320
3,1,1114623,1638321
3,3,-1,1638326
3,1,366264,1638327
3,2,396514,1638331
3,3,1114828,1638335
3,1,-1,1638336
3,2,-1,1638340
3,1,-1,1638342
3,3,390950,1638347
3,1,386454,1638348
3,2,363909,1638352
3,1,363770,1638354
3,1,-1,1638357
3,3,335379,1638362
5,5,-1,1638367
5,4,-1,1638371
3,1,744578,1638373
3,1,366334,1638376
3,2,337406,1638380
3,1,377797,1638382
3,3,354068,1638387
3,2,398542,1638389
3,3,-1,1638393
3,1,-1,1638394
3,1,1115368,1638397
3,3,302042,1638402
3,1,1115855,1638403
4,1,-1,1638406
4,3,-1,1638412
4,1,-1,1638414
4,2,368499,1638419
4,2,399257,1638423
4,1,373470,1638426
4,1,-1,1638430
4,2,183066,1638435
4,1,-1,1638438
4,4,-1,1638445
4,3,-1,1638448
4,1,-1,1638450
4,4,-1,1638457
4,2,392501,1638459
