@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
5,4,-1,1635668
7,3,-1,1635672
8,8,-1,1635684
7,7,-1,1635691
8,4,-1,1635695
8,6,-1,1635705
9,4,-1,1635711
8,2,-1,1635748
7,7,-1,1635761
5,4,-1,1635765
6,6,-1,1635851
7,5,-1,1635856
8,1,-1,1635859
8,6,-1,1635872
8,3,-1,1635877
8,1,-1,1635883
8,6,744570,1635896
8,5,368165,1635903
6,2,397077,1635937
6,1,396909,1635942
8,6,-1,1635953
8,5,-1,1635960
8,1,388443,1635964
5,2,375629,1635973
6,2,744379,1635978
6,5,-1,1635987
6,3,-1,1635991
3,1,375484,1637421
3,1,-1,1637424
3,3,393036,1637429
3,1,2194055,1637430
3,1,2193816,1638309
3,2,743975,1638313
3,2,386104,1638316
3,3,1114665,1638320
3,1,2227815,1638321
3,3,-1,1638326
3,1,366332,1638327
3,2,2227907,1638331
3,3,1114876,1638335
3,1,-1,1638336
3,2,-1,1638340
3,1,-1,1638342
3,3,744728,1638347
3,1,386456,1638348
3,2,373446,1638352
3,1,1485179,1638354
3,1,-1,1638357
3,3,390867,1638362
5,5,-1,1638367
5,4,-1,1638371
3,1,744583,1638373
3,1,1485182,1638376
3,2,382262,1638380
3,1,377865,1638382
3,3,744645,1638387
3,2,398739,1638389
3,3,-1,1638393
3,1,-1,1638394
3,1,2163296,1638397
3,3,379671,1638402
3,1,2599203,1638403
4,1,-1,1638406
4,3,-1,1638412
4,1,-1,1638414
4,2,375670,1638419
4,2,399470,1638423
4,1,744457,1638426
4,1,-1,1638430
4,2,361391,1638435
4,1,-1,1638438
4,4,-1,1638445
4,3,-1,1638448
4,1,-1,1638450
4,4,-1,1638457
4,2,393035,1638459
4,3,395415,1638464
4,2,2227848,1638467
4,3,-1,1638472
7,2,742767,1638780
7,6,1113990,1638791
6,4,744002,1638796
5,1,-1,1638799
3,1,2220416,1638804
3,2,-1,1638808
3,3,-1,1638812
3,3,744569,1638815
3,3,-1,1638818
3,2,-1,1638820
3,3,380050,1638824
