@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
5,2,391783,2,250,3135,160,r:40
9,6,395409,2,430,3020,200,c:20
8,3,244767,4,420,555,380,c:0
8,2,361574,4,410,7994,140,c:0
3,1,1114139,2,240,2065,180,r:40
9,2,2191815,3,310,2910,180,c:0
4,1,1115903,2,580,4350,360,r:40
3,1,394711,3,420,6222,220,c:20
3,1,368500,2,340,6057,200,c:20
4,1,384190,2,340,1742,240,c:20
4,1,390457,3,380,3112,160,c:20
3,2,306831,2,320,1712,240,r:40
3,1,743850,2,340,1202,200,c:20
7,5,1114845,3,490,758,400,c:0
7,3,379332,3,500,598,320,c:0
3,3,399458,2,460,2680,340,r:40
3,1,391963,2,160,2820,160,c:20
4,2,392515,3,360,39695,200,c:20
4,4,395203,2,470,39345,300,c:20
8,2,397270,4,640,192591,320,c:0
7,1,399646,2,520,193841,380,r:40
7,4,337753,3,390,95074,160,c:0
8,2,397242,5,860,27880,280,c:0
3,1,385896,3,360,5686,240,c:0
6,2,361391,2,520,718,360,r:40
6,3,389220,3,430,4207,260,c:0
4,3,395230,3,490,2650,360,c:0
3,1,384271,3,420,2190,220,c:0
3,1,393033,3,480,2910,280,c:20
3,2,385697,2,480,2750,280,r:40
8,4,183067,3,510,132662,220,c:0
7,3,744380,2,300,374465,660,r:40
6,2,385009,3,490,455940,200,c:20
3,3,373414,3,360,460646,200,c:0
5,2,397062,2,440,948876,280,r:40
7,3,382216,4,670,948026,240,c:40
7,1,394525,3,560,948576,360,c:0
3,2,390486,3,420,19268,220,c:0
8,6,744399,3,420,19663,200,c:0
4,4,375390,3,500,4008,160,c:0
6,1,1114365,2,340,2998,300,r:40
6,2,399620,2,390,2728,340,c:20
6,1,1114042,2,380,2358,240,r:40
3,2,373414,3,480,1150,360,c:0
4,2,390642,3,360,1515,200,c:0
5,1,389585,3,300,3250,180,c:0
7,2,387569,2,250,2673,180,c:20
5,5,399289,2,250,3595,200,c:20
8,6,390976,3,450,96986,220,c:0
4,3,1114172,2,260,139941,240,r:40
5,2,399412,2,310,163298,240,c:20
8,3,397271,2,270,159893,140,c:20
8,6,399454,3,630,160053,360,c:0
8,1,365560,2,300,161206,180,c:20
5,2,744019,2,290,176139,200,r:40
4,2,388768,2,250,101472,200,c:20
5,1,367250,2,360,517299,160,c:20
4,1,399256,3,260,493902,240,c:0
4,1,388847,3,380,508712,200,c:0
5,1,380029,4,520,2055,240,c:0
4,2,399088,2,380,2375,320,r:40
7,4,365951,3,310,14091,200,c:0
9,1,381331,4,600,18086,120,c:0
9,3,395247,2,260,28840,220,c:20
8,3,379925,3,450,27790,300,c:0
6,1,391033,2,220,28547,220,c:20
6,1,383344,2,240,28687,200,r:40
6,1,240189,2,240,28447,140,c:20
7,3,358982,2,550,29592,300,r:40
7,2,744528,3,570,2940,280,r:20
9,2,332267,6,650,10481,180,c:0
4,1,395161,2,180,2247,160,c:20
4,2,330632,3,370,1937,160,c:20
6,1,393030,3,500,2280,200,c:20
9,3,399429,2,480,416,240,c:20
3,1,1115534,2,280,2486,220,c:20
4,2,377823,2,210,2686,340,c:20
6,1,391042,3,440,2337,240,c:0
6,5,1115040,2,460,2097,380,c:20
7,1,373235,2,260,1877,200,c:20
5,1,1115509,4,500,2062,200,c:40
4,2,1115535,2,310,2400,240,c:20
3,2,1115391,3,480,2140,280,c:0
7,2,397540,2,320,1745,200,c:20
8,4,744348,2,420,2337,240,c:20
4,1,389924,3,360,2525,200,c:0
8,1,397247,2,260,21994,100,c:20
9,6,399608,3,670,23755,320,c:0
8,4,399543,2,370,24505,220,c:20
7,1,1114867,3,260,2395,200,c:20
7,3,744020,3,320,2385,300,c:0
7,3,2227883,3,310,2110,420,c:0
4,2,1115481,3,300,2095,100,c:0
7,2,744706,3,370,2453,360,c:20
4,2,744288,2,210,5345,180,c:20
5,4,397272,3,320,5405,180,c:0
5,1,392865,3,420,26715,140,c:0
9,3,335390,3,390,19005,200,c:0
3,1,391049,3,420,1888,180,c:0
6,3,744722,4,650,17640,360,c:40
7,1,392515,2,280,16950,200,c:20
9,6,390130,3,410,6632,200,c:20
3,1,399283,2,420,35797,280,r:40
3,1,1485183,2,340,36607,480,r:40
3,1,363953,2,420,36927,280,c:20
6,1,394681,3,400,35362,240,r:40
5,2,332816,2,290,35472,140,r:40
3,2,395317,2,380,35832,280,r:40
6,2,1485183,2,210,32812,740,r:40
6,3,744298,2,270,9290,180,c:20
9,2,396890,3,310,4020,220,c:20
6,1,391044,2,200,4794,160,c:20
9,3,395229,3,640,4140,240,c:0
7,3,1485183,3,320,49555,340,c:0
4,1,382262,2,200,50012,300,c:20
4,4,390469,2,240,48412,140,c:20
5,2,304452,3,340,50082,140,c:0
7,1,399413,4,560,26145,220,c:0
7,1,390676,2,300,26725,660,r:40
3,1,334478,2,160,19552,160,c:20
4,2,399087,2,180,23022,160,c:20
3,2,397609,2,440,12719,200,c:20
3,3,397260,2,260,12289,160,c:20
3,1,399640,2,240,12009,240,c:20
4,1,395411,2,240,13029,240,r:40
6,6,1114698,4,520,15264,320,c:0
6,2,379939,3,370,17339,240,c:0
6,1,397592,3,560,16824,320,c:20
6,1,1114638,4,500,16404,300,c:0
6,6,1485184,2,700,16689,460,r:40
7,4,394853,2,350,4425,280,c:20
6,2,1485175,2,300,2088,240,r:40
3,1,368459,3,360,2233,120,c:0
7,1,744669,2,200,2030,140,c:20
8,2,399584,3,490,19988,145,c:20
9,8,1115536,2,390,59519,240,c:20
8,3,2160899,2,420,1987,140,c:20
6,1,2227803,2,200,8528,160,c:20
9,1,390134,4,460,1925,220,c:0
3,1,376740,2,280,2808,200,c:20
9,4,393185,4,440,9493,140,c:0
8,5,1115732,2,530,11958,260,r:40
7,1,306280,2,300,10243,240,c:20
8,1,306634,4,580,11566,300,c:0
7,4,399453,2,350,14662,220,c:20
3,3,383669,2,320,2292,260,c:20
7,2,365757,4,640,3847,240,c:0
6,4,393245,2,1330,2271,660,r:40
9,4,332983,3,390,3036,260,c:0
8,4,394147,2,350,1793,200,c:20
8,4,380953,4,590,7873,180,c:0
8,8,390683,3,500,7663,240,c:0
9,9,744638,2,350,6171,200,c:20
9,6,384023,2,570,3755,260,c:20
8,3,337767,2,290,2288,80,c:20
9,8,397607,2,330,3685,140,c:20
6,2,1116050,3,360,4570,260,c:0
9,3,1115551,3,490,5220,240,c:20
3,1,306801,2,340,1657,120,c:20
6,1,381344,4,320,4570,160,c:0
8,2,395227,3,430,10662,180,c:0
8,5,1115004,2,260,17594,180,c:20
9,7,299689,3,440,19364,140,c:0
3,1,381529,2,240,3167,320,c:20
4,3,394669,3,370,2927,160,c:0
4,1,393198,4,640,3077,320,c:0
6,3,391964,2,240,3797,180,c:20
3,2,395332,2,210,3677,180,c:20
3,1,1114451,3,300,2752,220,c:0
5,4,744361,3,400,2522,200,r:20
3,1,742760,2,200,2081,140,c:20
6,3,399454,3,410,2757,160,c:20
9,5,397190,3,510,7400,240,c:0
3,1,399103,2,260,36463,140,c:20
9,2,356814,4,450,2003,220,c:0
9,2,337757,2,290,370271,140,c:20
8,2,330616,4,490,370701,200,c:0
5,2,1114507,2,180,301497,280,c:20
4,1,399244,2,240,301217,300,c:20
8,7,743978,2,350,301267,220,c:20
7,3,399074,2,270,921580,280,c:20
5,1,389949,2,260,4610,200,c:20
6,2,398737,2,250,4200,200,c:20
6,1,372178,2,260,2457,180,c:20
6,5,744184,3,430,3235,280,c:0
3,2,383721,2,170,2395,160,c:20
6,2,390680,2,250,6395,200,r:40
7,3,399289,4,660,2373,360,c:0
7,3,394889,2,270,14768,200,c:20
9,4,392824,3,390,2345,200,c:20
4,4,211627,2,310,239474,180,r:40
9,8,390624,3,510,343242,260,c:0
9,1,337771,2,240,2268,180,c:20
4,2,396851,2,330,4616,240,c:20
3,1,392472,2,200,5434,180,c:20
6,2,388472,3,360,3541,200,c:0
4,2,744750,2,170,3831,280,c:20
7,7,390117,3,360,3570,160,c:0
9,1,387739,2,260,3190,240,c:20
8,1,399285,3,300,2253,160,c:20
9,5,392866,3,320,2533,260,c:20
3,2,395330,2,260,1970,140,c:20
3,2,399429,2,330,2310,240,r:40
4,3,393134,2,340,755,320,c:20
4,3,373376,2,620,1775,380,r:40
4,3,744634,2,500,1275,240,r:40
4,2,373446,2,210,1375,220,c:20
4,4,397593,2,520,1040,380,r:40
3,2,744576,2,650,1740,400,r:40
4,2,375614,2,170,6675,160,c:20
4,2,373459,2,250,13260,200,r:40
7,2,394641,2,250,2075,160,c:20
8,5,390484,3,380,5422,160,c:0
8,1,271116,3,260,3361,160,c:0
5,2,275692,3,260,4062,120,c:0
8,3,379964,4,410,1981,220,c:0
5,2,397254,2,250,2390,140,c:20
8,2,383721,2,250,3697,180,c:20
3,1,398710,3,360,21602,160,c:20
